127.0.0.1, 2017-01-30 18:49:22, GET, /, HTTP/1.1, 303, 0.009901
127.0.0.1, 2017-01-30 18:49:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.589328
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003771
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001379
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.008747
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002682
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.015609
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.017036
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.015069
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.019938
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.018515
127.0.0.1, 2017-01-30 18:49:23, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.016842
127.0.0.1, 2017-01-30 18:49:24, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001809
127.0.0.1, 2017-01-30 18:49:24, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.003811
127.0.0.1, 2017-01-30 18:49:24, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004931
127.0.0.1, 2017-01-30 18:49:24, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.007241
127.0.0.1, 2017-01-30 18:49:24, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.003458
